room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12304774,66345928,Shared room,,Brno,1,0.0,2,1.0,14.0,,49.182407,16.597461,2017-03-10 19:47:36.036947
12864574,8082029,Shared room,,Brno,0,0.0,1,1.0,20.0,,49.196193,16.607932,2017-03-10 19:47:36.034779
1353870,4504049,Shared room,,Brno,9,5.0,6,1.0,19.0,,49.197913,16.607754,2017-03-10 19:47:36.032214
12036183,41363259,Shared room,,Brno,0,0.0,1,1.0,40.0,,49.163421,16.564714,2017-03-10 19:47:36.030081
12691076,68975698,Shared room,,Brno,0,0.0,4,1.0,12.0,,49.219381,16.632454,2017-03-10 19:47:36.027765
10939439,34115236,Shared room,,Brno,2,0.0,8,1.0,11.0,,49.203953,16.625083,2017-03-10 19:47:36.025304
13613013,19713903,Shared room,,Brno,0,0.0,2,1.0,16.0,,49.165903,16.555605,2017-03-10 19:47:36.022856
5938236,23770807,Shared room,,Brno,13,4.5,3,1.0,18.0,,49.207834,16.605419,2017-03-10 19:47:36.020209
16703855,75228095,Shared room,,Brno,0,0.0,2,1.0,18.0,,49.203174,16.623529,2017-03-10 19:47:36.017467
12033092,34115236,Shared room,,Brno,0,0.0,3,1.0,14.0,,49.20494,16.624158,2017-03-10 19:47:36.014635
16191125,44260343,Shared room,,Brno,1,0.0,6,1.0,10.0,,49.20047,16.613751,2017-03-10 19:47:36.012229
12780348,69542775,Shared room,,Brno,0,0.0,1,1.0,13.0,,49.2002,16.603437,2017-03-10 19:47:36.009884
1702976,4504049,Shared room,,Brno,31,5.0,11,1.0,16.0,,49.196291,16.60958,2017-03-10 19:47:36.007517
15321932,57097927,Shared room,,Brno,3,4.0,1,1.0,10.0,,49.18927,16.603528,2017-03-10 19:47:36.005088
15697762,76775524,Shared room,,Brno,6,4.0,2,1.0,16.0,,49.194084,16.609156,2017-03-10 19:47:36.000585
2478555,2821011,Shared room,,Brno,22,5.0,2,1.0,13.0,,49.190358,16.616847,2017-03-10 19:47:35.994893
14924591,93818030,Shared room,,Brno,16,4.5,2,1.0,38.0,,49.203673,16.6238,2017-03-10 19:47:35.991421
17040086,60981647,Entire home/apt,,Brno,5,5.0,4,1.0,39.0,,49.19162,16.602578,2017-03-10 19:44:04.455370
16440349,107809237,Entire home/apt,,Brno,0,0.0,6,3.0,76.0,,49.204532,16.60201,2017-03-10 19:43:53.692486
1617213,6476206,Entire home/apt,,Brno,47,5.0,6,2.0,67.0,,49.172813,16.685094,2017-03-10 19:43:53.686442
7777714,40920217,Entire home/apt,,Brno,10,4.5,4,2.0,44.0,,49.197271,16.64634,2017-03-10 19:43:49.468120
14123942,85162155,Entire home/apt,,Brno,0,0.0,3,3.0,61.0,,49.206735,16.613747,2017-03-10 19:43:49.450991
699815,2802348,Entire home/apt,,Brno,115,4.5,12,3.0,49.0,,49.195372,16.62376,2017-03-10 19:43:49.440528
2574195,7122680,Entire home/apt,,Brno,6,4.5,3,1.0,48.0,,49.186901,16.594581,2017-03-10 19:43:49.437955
12429140,55635986,Entire home/apt,,Brno,5,5.0,4,1.0,61.0,,49.187317,16.600598,2017-03-10 19:43:49.435886
5758535,29872374,Entire home/apt,,Brno,25,4.5,4,2.0,60.0,,49.199939,16.614594,2017-03-10 19:43:47.998054
14226468,29371815,Entire home/apt,,Brno,0,0.0,3,1.0,54.0,,49.202534,16.579198,2017-03-10 19:43:47.995899
5788394,29371815,Entire home/apt,,Brno,19,5.0,5,2.0,55.0,,49.197539,16.598793,2017-03-10 19:43:47.990104
2054226,10522599,Entire home/apt,,Brno,14,5.0,4,1.0,61.0,,49.186459,16.586387,2017-03-10 19:43:47.987457
14001679,83661130,Entire home/apt,,Brno,16,5.0,4,2.0,55.0,,49.200242,16.602736,2017-03-10 19:43:47.979795
16146086,14839138,Entire home/apt,,Brno,0,0.0,4,1.0,59.0,,49.187687,16.602481,2017-03-10 19:43:47.975911
3418421,3885548,Entire home/apt,,Brno,9,4.5,7,3.0,57.0,,49.197572,16.608237,2017-03-10 19:43:46.756674
12467829,59582333,Entire home/apt,,Brno,27,5.0,8,3.0,53.0,,49.193269,16.562201,2017-03-10 19:43:44.201840
11393714,48346495,Entire home/apt,,Brno,23,5.0,4,2.0,52.0,,49.203732,16.592941,2017-03-10 19:43:44.191745
10905731,7094093,Entire home/apt,,Brno,18,5.0,2,1.0,56.0,,49.222044,16.585212,2017-03-10 19:43:42.997518
16697390,43438911,Entire home/apt,,Brno,6,5.0,2,1.0,47.0,,49.19718,16.594659,2017-03-10 19:43:42.975208
2404001,12286471,Entire home/apt,,Brno,86,5.0,4,1.0,47.0,,49.194701,16.617575,2017-03-10 19:43:42.972108
4385469,22767859,Entire home/apt,,Brno,0,0.0,2,1.0,38.0,,49.186048,16.591432,2017-03-10 19:43:41.790831
3844805,3708921,Entire home/apt,,Brno,44,4.5,2,1.0,33.0,,49.192376,16.611675,2017-03-10 19:43:40.518564
15312534,66842548,Entire home/apt,,Brno,3,3.5,4,1.0,40.0,,49.187997,16.586114,2017-03-10 19:43:39.259919
12899133,61809465,Entire home/apt,,Brno,33,5.0,2,1.0,19.0,,49.181416,16.683726,2017-03-10 19:43:38.467116
11783237,40189045,Entire home/apt,,Brno,22,4.5,2,0.0,32.0,,49.201729,16.605261,2017-03-10 19:43:38.464536
16214633,105742013,Entire home/apt,,Brno,0,0.0,3,2.0,37.0,,49.202392,16.611077,2017-03-10 19:43:38.453231
10680515,114303726,Entire home/apt,,Brno,6,4.5,2,1.0,36.0,,49.193291,16.565496,2017-03-10 19:43:38.446839
5383402,13159004,Entire home/apt,,Brno,71,5.0,2,0.0,30.0,,49.191538,16.603818,2017-03-10 19:43:36.967855
4240524,2802348,Entire home/apt,,Brno,89,4.5,4,0.0,28.0,,49.200985,16.617627,2017-03-10 19:43:35.915153
11975247,56794763,Entire home/apt,,Brno,50,5.0,4,1.0,27.0,,49.211198,16.627699,2017-03-10 19:43:35.898067
14448280,16662183,Entire home/apt,,Brno,8,5.0,16,7.0,278.0,,49.195908,16.607381,2017-03-10 19:43:25.708185
7424211,38890708,Entire home/apt,,Brno,1,0.0,4,2.0,288.0,,49.203859,16.605896,2017-03-10 19:43:25.704673
16566169,107898700,Entire home/apt,,Brno,0,0.0,12,3.0,201.0,,49.213737,16.570974,2017-03-10 19:43:23.458935
7153175,27769049,Entire home/apt,,Brno,1,0.0,7,2.0,163.0,,49.189101,16.604669,2017-03-10 19:43:22.321133
7708681,40495097,Entire home/apt,,Brno,0,0.0,2,2.0,162.0,,49.213968,16.567185,2017-03-10 19:43:22.317609
17588016,71934759,Entire home/apt,,Brno,0,0.0,4,2.0,141.0,,49.177353,16.612511,2017-03-10 19:43:21.212331
8319645,38655874,Entire home/apt,,Brno,4,5.0,7,3.0,129.0,,49.203298,16.596455,2017-03-10 19:43:21.209284
1775345,4504049,Entire home/apt,,Brno,3,4.5,4,2.0,129.0,,49.197848,16.609257,2017-03-10 19:43:21.206203
12821744,35927934,Entire home/apt,,Brno,0,0.0,7,3.0,141.0,,49.194852,16.607848,2017-03-10 19:43:21.201903
7924334,31846956,Entire home/apt,,Brno,22,5.0,10,3.0,141.0,,49.198039,16.611364,2017-03-10 19:43:21.196650
17543893,116414799,Entire home/apt,,Brno,0,0.0,5,0.0,105.0,,49.201821,16.599123,2017-03-10 19:43:20.113894
14080142,32043907,Entire home/apt,,Brno,3,4.5,8,2.0,119.0,,49.204429,16.610714,2017-03-10 19:43:20.110622
7354920,37372408,Entire home/apt,,Brno,1,0.0,6,2.0,109.0,,49.205647,16.498641,2017-03-10 19:43:20.107704
2903473,4504049,Entire home/apt,,Brno,10,4.5,6,2.0,92.0,,49.196651,16.608403,2017-03-10 19:43:19.527139
2341855,4504049,Entire home/apt,,Brno,1,0.0,2,1.0,88.0,,49.196265,16.60765,2017-03-10 19:43:19.524278
6856095,18395020,Entire home/apt,,Brno,21,4.5,6,3.0,98.0,,49.194241,16.607979,2017-03-10 19:43:19.521991
16214041,105742013,Entire home/apt,,Brno,1,0.0,6,3.0,84.0,,49.191111,16.605492,2017-03-10 19:43:19.519930
2899786,4504049,Entire home/apt,,Brno,5,4.5,4,1.0,92.0,,49.198008,16.609132,2017-03-10 19:43:19.516532
16215004,105742013,Entire home/apt,,Brno,1,0.0,6,2.0,85.0,,49.192113,16.605487,2017-03-10 19:43:19.514014
12365051,26723475,Entire home/apt,,Brno,13,5.0,2,1.0,92.0,,49.192597,16.600712,2017-03-10 19:43:19.511242
17280908,116528315,Entire home/apt,,Brno,0,0.0,4,0.0,95.0,,49.194513,16.607666,2017-03-10 19:43:19.509123
16952515,113344991,Entire home/apt,,Brno,0,0.0,4,2.0,101.0,,49.203655,16.610936,2017-03-10 19:43:19.505495
3621376,18244061,Entire home/apt,,Brno,11,5.0,3,1.0,85.0,,49.22812,16.594057,2017-03-10 19:43:19.503280
16366095,107179170,Entire home/apt,,Brno,0,0.0,4,2.0,80.0,,49.198821,16.595566,2017-03-10 19:43:17.272715
16214618,105742013,Entire home/apt,,Brno,0,0.0,4,2.0,80.0,,49.19145,16.605404,2017-03-10 19:43:17.269992
12489829,15636143,Entire home/apt,,Brno,20,5.0,6,2.0,70.0,,49.194086,16.608246,2017-03-10 19:43:17.267345
16214612,105742013,Entire home/apt,,Brno,1,0.0,4,2.0,75.0,,49.192301,16.606783,2017-03-10 19:43:17.265333
10377571,29371815,Entire home/apt,,Brno,28,4.5,6,2.0,72.0,,49.214764,16.601212,2017-03-10 19:43:17.259004
