room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
12036183,1500,41363259,Shared room,,Brno,,Brno,0,0.0,1,1.0,,45.0,,2017-07-20 03:32:17.566691,49.163421,16.564714,0101000020E6100000E597C11891903040643DB5FAEA944840
16191125,1500,44260343,Shared room,,Brno,,Brno,1,0.0,6,1.0,,11.0,,2017-07-20 03:32:17.058390,49.20047,16.613751,0101000020E610000026E318C91E9D304021EA3E00A9994840
12864574,1500,8082029,Shared room,,Brno,,Brno,0,0.0,1,1.0,,22.0,,2017-07-20 03:32:17.055427,49.196193,16.607932,0101000020E61000001F317A6EA19B3040215A2BDA1C994840
10347898,1500,53257320,Shared room,,Brno,,Brno,0,0.0,1,1.0,,30.0,,2017-07-20 03:32:17.053064,49.165151,16.570547,0101000020E6100000B7D4415E0F9230406BF3FFAA23954840
12033092,1500,34115236,Shared room,,Brno,,Brno,0,0.0,3,1.0,,15.0,,2017-07-20 03:32:17.050426,49.20494,16.624158,0101000020E61000006A8995D1C89F304035D252793B9A4840
12691076,1500,68975698,Shared room,,Brno,,Brno,0,0.0,4,1.0,,13.0,,2017-07-20 03:32:17.048125,49.219381,16.632454,0101000020E610000071395E81E8A13040902E36AD149C4840
1353870,1500,4504049,Shared room,,Brno,,Brno,10,4.5,6,1.0,,21.0,,2017-07-20 03:32:17.045795,49.197913,16.607754,0101000020E6100000600322C4959B3040043A933655994840
15697762,1500,76775524,Shared room,,Brno,,Brno,13,4.5,2,1.0,,19.0,,2017-07-20 03:32:17.043399,49.194084,16.609156,0101000020E61000008429CAA5F19B3040A35698BED7984840
5938236,1500,23770807,Shared room,,Brno,,Brno,13,4.5,3,1.0,,19.0,,2017-07-20 03:32:17.041212,49.207834,16.605419,0101000020E6100000856055BDFC9A3040997FF44D9A9A4840
13613013,1500,19713903,Shared room,,Brno,,Brno,0,0.0,2,1.0,,18.0,,2017-07-20 03:32:17.038369,49.165903,16.555605,0101000020E61000007C7E18213C8E304076A73B4F3C954840
16703855,1500,75228095,Shared room,,Brno,,Brno,1,0.0,3,1.0,,22.0,,2017-07-20 03:32:17.036005,49.203174,16.623529,0101000020E61000008B1BB7989F9F3040E1B20A9B019A4840
6049105,1500,31390388,Shared room,,Brno,,Brno,2,0.0,10,1.0,,14.0,,2017-07-20 03:32:17.031443,49.193917,16.611819,0101000020E61000004912842BA09C3040B891B245D2984840
12780348,1500,69542775,Shared room,,Brno,,Brno,0,0.0,1,1.0,,15.0,,2017-07-20 03:32:17.029095,49.2002,16.603437,0101000020E61000004432E4D87A9A304061545227A0994840
10939439,1500,34115236,Shared room,,Brno,,Brno,5,4.5,8,1.0,,12.0,,2017-07-20 03:32:17.020374,49.203953,16.625083,0101000020E61000001B49827005A03040E675C4211B9A4840
1702976,1500,4504049,Shared room,,Brno,,Brno,35,5.0,11,1.0,,19.0,,2017-07-20 03:32:17.015525,49.196291,16.60958,0101000020E6100000B24B546F0D9C3040E4BF401020994840
19485864,1500,133399079,Shared room,,Brno,,Brno,0,0.0,2,1.0,,10.0,,2017-07-20 03:32:17.013323,49.194873,16.626537,0101000020E6100000E4BB94BA64A03040CCEF3499F1984840
18123123,1500,77872942,Shared room,,Brno,,Brno,5,5.0,1,1.0,,11.0,,2017-07-20 03:32:17.009872,49.199716,16.599606,0101000020E6100000427C60C77F993040753E3C4B90994840
16214039,1500,105742013,Entire home/apt,,Brno,,Brno,0,0.0,4,2.0,,96.0,,2017-07-20 03:29:38.017377,49.191214,16.606072,0101000020E61000007505DB88279B3040C8444AB379984840
13245711,1500,74452775,Entire home/apt,,Brno,,Brno,18,5.0,5,2.0,,102.0,,2017-07-20 03:29:38.003922,49.188642,16.606617,0101000020E6100000983270404B9B30407653CA6B25984840
16215523,1500,105742013,Entire home/apt,,Brno,,Brno,0,0.0,4,2.0,,75.0,,2017-07-20 03:28:59.130600,49.190568,16.605447,0101000020E610000019761893FE9A304002D53F8864984840
10404876,1500,40088289,Entire home/apt,,Brno,,Brno,0,0.0,3,0.0,,63.0,,2017-07-20 03:28:59.121303,49.202084,16.606846,0101000020E61000005BB56B425A9B3040BE8575E3DD994840
13568576,1500,66842548,Entire home/apt,,Brno,,Brno,35,4.5,4,0.0,,64.0,,2017-07-20 03:28:58.899794,49.187426,16.603479,0101000020E6100000A2D288997D9A3040C6353E93FD974840
12945087,1500,29872374,Entire home/apt,,Brno,,Brno,25,4.5,4,2.0,,65.0,,2017-07-20 03:28:58.893644,49.200393,16.619133,0101000020E6100000D7DF12807F9E304075AC527AA6994840
19098937,1500,75526380,Entire home/apt,,Brno,,Brno,1,0.0,3,2.0,,72.0,,2017-07-20 03:28:58.889133,49.194588,16.595595,0101000020E61000003FA9F6E978983040D7187442E8984840
16933639,1500,17401026,Entire home/apt,,Brno,,Brno,3,4.5,4,0.0,,64.0,,2017-07-20 03:28:58.884681,49.19429,16.609224,0101000020E610000035F0A31AF69B30404DF8A57EDE984840
15960223,1500,103644182,Entire home/apt,,Brno,,Brno,5,4.5,4,0.0,,72.0,,2017-07-20 03:28:58.878428,49.183815,16.593968,0101000020E6100000DBDE6E490E983040D3C1FA3F87974840
13118824,1500,66842548,Entire home/apt,,Brno,,Brno,45,4.5,4,1.0,,64.0,,2017-07-20 03:28:56.264437,49.18755,16.585999,0101000020E61000001C7DCC0704963040B22E6EA301984840
743812,1500,3897520,Entire home/apt,,Brno,,Brno,10,4.5,2,1.0,,64.0,,2017-07-20 03:28:56.258708,49.211445,16.603738,0101000020E61000003A5AD5928E9A30408CF337A1109B4840
7232212,1500,18395020,Entire home/apt,,Brno,,Brno,21,4.5,4,2.0,,71.0,,2017-07-20 03:28:56.254034,49.19475,16.60659,0101000020E6100000A514747B499B3040B0726891ED984840
5999251,1500,11815074,Entire home/apt,,Brno,,Brno,24,5.0,5,3.0,,64.0,,2017-07-20 03:28:56.247515,49.173223,16.683325,0101000020E6100000098A1F63EEAE30401FF5D72B2C964840
3518506,1500,4662188,Entire home/apt,,Brno,,Brno,10,4.5,4,1.0,,68.0,,2017-07-20 03:28:55.296423,49.195816,16.602775,0101000020E6100000AED85F764F9A30404B04AA7F10994840
15733175,1500,40088289,Entire home/apt,,Brno,,Brno,1,0.0,3,1.0,,63.0,,2017-07-20 03:28:55.291660,49.202464,16.606037,0101000020E61000007C2AA73D259B3040054F2157EA994840
14436285,1500,31846956,Entire home/apt,,Brno,,Brno,7,5.0,3,2.0,,66.0,,2017-07-20 03:28:55.289045,49.194816,16.607601,0101000020E6100000530438BD8B9B3040685E0EBBEF984840
652231,1500,3277922,Entire home/apt,,Brno,,Brno,47,4.5,3,0.0,,66.0,,2017-07-20 03:28:55.284347,49.193613,16.615841,0101000020E610000033897AC1A79D30404C8A8F4FC8984840
13052284,1500,29872374,Entire home/apt,,Brno,,Brno,26,4.5,4,2.0,,70.0,,2017-07-20 03:28:55.274375,49.198055,16.616481,0101000020E6100000FA9AE5B2D19D304096E7C1DD59994840
6950244,1500,36408807,Entire home/apt,,Brno,,Brno,9,4.5,2,1.0,,68.0,,2017-07-20 03:28:53.653969,49.209007,16.610497,0101000020E61000005D4E0988499C30404AD1CABDC09A4840
14408803,1500,86542407,Entire home/apt,,Brno,,Brno,29,5.0,5,2.0,,75.0,,2017-07-20 03:28:53.638422,49.196116,16.609497,0101000020E61000009702D2FE079C3040761C3F541A994840
11110826,1500,57719244,Entire home/apt,,Brno,,Brno,27,5.0,2,1.0,,66.0,,2017-07-20 03:28:53.633561,49.227331,16.595964,0101000020E6100000E597C11891983040F92EA52E199D4840
1955700,1500,3671364,Entire home/apt,,Brno,,Brno,16,4.5,2,1.0,,52.0,,2017-07-20 03:28:52.066991,49.191719,16.611042,0101000020E6100000817B9E3F6D9C3040CB82893F8A984840
7592436,1500,23770807,Entire home/apt,,Brno,,Brno,1,0.0,4,0.0,,60.0,,2017-07-20 03:28:52.064379,49.210139,16.604411,0101000020E6100000B857E6ADBA9A30409C4EB2D5E59A4840
9467711,1500,48351970,Entire home/apt,,Brno,,Brno,12,4.5,5,1.0,,50.0,,2017-07-20 03:28:52.058589,49.192764,16.611847,0101000020E6100000DD274701A29C30404EECA17DAC984840
18441830,1500,52839777,Entire home/apt,,Brno,,Brno,0,0.0,4,2.0,,57.0,,2017-07-20 03:28:50.744750,49.19056,16.535367,0101000020E61000008E5BCCCF0D8930407FF6234564984840
7729213,1500,40614947,Entire home/apt,,Brno,,Brno,4,4.5,3,1.0,,45.0,,2017-07-20 03:28:50.731724,49.203777,16.483864,0101000020E610000035B6D782DE7B3040A8565F5D159A4840
12194161,1500,62291242,Entire home/apt,,Brno,,Brno,10,5.0,6,2.0,,55.0,,2017-07-20 03:28:50.724633,49.220756,16.592728,0101000020E61000006A6CAF05BD973040A9328CBB419C4840
2574195,1500,7122680,Entire home/apt,,Brno,,Brno,9,4.5,3,1.0,,55.0,,2017-07-20 03:28:50.722576,49.186901,16.594581,0101000020E6100000AFD2DD75369830407B4B395FEC974840
