room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
12036183,1258,41363259,Shared room,,Brno,,Brno,0,0.0,1,1.0,,42.0,,2017-05-14 19:53:35.233605,49.163421,16.564714,0101000020E6100000E597C11891903040643DB5FAEA944840
6049105,1258,31390388,Shared room,,Brno,,Brno,2,0.0,10,1.0,,13.0,,2017-05-14 19:53:33.881189,49.193917,16.611819,0101000020E61000004912842BA09C3040B891B245D2984840
5938236,1258,23770807,Shared room,,Brno,,Brno,13,4.5,3,1.0,,19.0,,2017-05-14 19:53:33.870976,49.207834,16.605419,0101000020E6100000856055BDFC9A3040997FF44D9A9A4840
12691076,1258,68975698,Shared room,,Brno,,Brno,0,0.0,4,1.0,,12.0,,2017-05-14 19:53:33.854978,49.219381,16.632454,0101000020E610000071395E81E8A13040902E36AD149C4840
16191125,1258,44260343,Shared room,,Brno,,Brno,1,0.0,6,1.0,,10.0,,2017-05-14 19:53:33.842977,49.20047,16.613751,0101000020E610000026E318C91E9D304021EA3E00A9994840
17696552,1258,3505103,Shared room,,Brno,,Brno,0,0.0,2,1.0,,16.0,,2017-05-14 19:53:33.829555,49.197894,16.64837,0101000020E610000020B58993FBA530408D09319754994840
12033092,1258,34115236,Shared room,,Brno,,Brno,0,0.0,3,1.0,,14.0,,2017-05-14 19:53:33.722503,49.20494,16.624158,0101000020E61000006A8995D1C89F304035D252793B9A4840
1353870,1258,4504049,Shared room,,Brno,,Brno,10,4.5,6,1.0,,20.0,,2017-05-14 19:53:33.715032,49.197913,16.607754,0101000020E6100000600322C4959B3040043A933655994840
15697762,1258,76775524,Shared room,,Brno,,Brno,9,4.5,2,1.0,,16.0,,2017-05-14 19:53:33.702988,49.194084,16.609156,0101000020E61000008429CAA5F19B3040A35698BED7984840
13613013,1258,19713903,Shared room,,Brno,,Brno,0,0.0,2,1.0,,16.0,,2017-05-14 19:53:33.666790,49.165903,16.555605,0101000020E61000007C7E18213C8E304076A73B4F3C954840
