room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4240524,2802348,Entire home/apt,,Brno,83,4.5,4,0.0,28.0,1.0,49.200985,16.617627,2016-11-05 18:35:11.960001
14770213,24246056,Entire home/apt,,Brno,20,5.0,2,,33.0,1.0,49.199972,16.60129,2016-11-05 18:34:54.742281
11477340,16691282,Private room,,Brno,78,4.5,3,,24.0,1.0,49.196297,16.60512,2016-11-05 18:34:47.763348
14291130,50143483,Private room,,Brno,0,,2,1.0,44.0,1.0,49.194795,16.564822,2016-11-05 18:34:30.159278
5959079,10753208,Private room,,Brno,2,,2,1.0,34.0,1.0,49.209558,16.609849,2016-11-05 18:33:56.401035
15427961,98895517,Entire home/apt,,Brno,4,4.5,4,2.0,42.0,1.0,49.196365,16.612377,2016-11-05 18:33:30.297898
3647961,17063552,Private room,,Brno,162,4.5,2,1.0,27.0,1.0,49.193511,16.609607,2016-11-05 18:32:44.230151
5930121,30789537,Entire home/apt,,Brno,22,4.5,3,1.0,58.0,1.0,49.198226,16.591645,2016-11-05 18:32:25.181180
11902734,16765152,Private room,,Brno,16,4.5,2,1.0,26.0,2.0,49.20669,16.599086,2016-11-05 18:32:07.628066
2261739,11549602,Private room,,Brno,48,4.5,5,,31.0,1.0,49.198955,16.602189,2016-11-05 18:32:04.983097
1513565,8082029,Private room,,Brno,3,4.5,2,1.0,48.0,1.0,49.195073,16.609495,2016-11-05 18:32:00.005557
12727586,29371815,Entire home/apt,,Brno,8,5.0,5,,46.0,1.0,49.18387,16.587382,2016-11-05 18:31:51.693569
14225970,86456410,Private room,,Brno,3,4.5,1,,29.0,1.0,49.199239,16.578137,2016-11-05 18:31:48.815822
10905731,7094093,Entire home/apt,,Brno,14,5.0,2,,34.0,2.0,49.222044,16.585212,2016-11-05 18:31:36.329127
9322799,48387548,Private room,,Brno,3,4.5,1,1.0,26.0,1.0,49.225981,16.59891,2016-11-05 18:31:22.820822
10881818,49279418,Private room,,Brno,3,4.5,3,,34.0,3.0,49.203168,16.597268,2016-11-05 18:31:10.620513
13106193,72843651,Private room,,Brno,12,4.5,3,,21.0,1.0,49.203711,16.595801,2016-11-05 18:30:59.096148
7327087,14851142,Private room,,Brno,2,,3,1.0,18.0,1.0,49.180814,16.561836,2016-11-05 18:30:40.537368
15076722,95381676,Entire home/apt,,Brno,4,5.0,3,1.0,50.0,2.0,49.209903,16.617409,2016-11-05 18:30:30.900593
7813806,2922476,Private room,,Brno,3,3.5,2,1.0,30.0,1.0,49.164517,16.562629,2016-11-05 18:30:22.289167
2902739,4504049,Private room,,Brno,3,4.0,2,,53.0,1.0,49.19609,16.607731,2016-11-05 18:30:03.672900
14711611,91531951,Entire home/apt,,Brno,1,,2,,34.0,2.0,49.204341,16.635725,2016-11-05 18:30:01.372217
5476429,24246056,Private room,,Brno,129,4.5,4,,24.0,1.0,49.196285,16.606632,2016-11-05 18:29:52.579396
