room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14227404,86474096,Private room,,Brno,4,4.0,2,1.0,16.0,2.0,49.179372,16.554581,2016-10-31 01:45:46.694351
14285815,87189944,Entire home/apt,,Brno,6,5.0,3,2.0,28.0,1.0,49.233985,16.630846,2016-10-31 01:45:43.713141
10858040,49279418,Entire home/apt,,Brno,6,5.0,5,2.0,72.0,3.0,49.203196,16.595687,2016-10-31 01:45:34.115411
13206857,74009441,Entire home/apt,,Brno,0,,3,0.0,31.0,2.0,49.19305,16.590019,2016-10-31 01:45:32.033629
14772613,44400732,Private room,,Brno,2,,4,1.0,23.0,1.0,49.192748,16.601,2016-10-31 01:45:22.110906
2902739,4504049,Private room,,Brno,3,4.0,2,1.0,53.0,1.0,49.19609,16.607731,2016-10-31 01:45:12.610586
7862793,31846956,Private room,,Brno,45,4.5,3,1.0,23.0,1.0,49.19583,16.612881,2016-10-31 01:44:56.137882
8586985,45192357,Shared room,,Brno,25,5.0,2,1.0,29.0,1.0,49.18092,16.593965,2016-10-31 01:44:51.906156
12398575,31846956,Private room,,Brno,26,5.0,4,1.0,28.0,1.0,49.197632,16.611896,2016-10-31 01:44:36.808263
1617126,6476206,Private room,,Brno,8,4.5,2,1.0,27.0,1.0,49.170868,16.683834,2016-10-31 01:44:32.755103
3518506,4662188,Entire home/apt,,Brno,9,5.0,4,1.0,64.0,3.0,49.195816,16.602775,2016-10-31 01:44:27.926666
13373994,10848860,Private room,,Brno,13,5.0,4,1.0,39.0,1.0,49.205438,16.615306,2016-10-31 01:44:24.544073
6951867,31151761,Entire home/apt,,Brno,6,5.0,2,1.0,71.0,1.0,49.18758,16.605766,2016-10-31 01:44:20.762146
42498,185586,Private room,,Brno,1,,2,1.0,47.0,2.0,49.211613,16.584011,2016-10-31 01:44:18.125308
14228987,16662183,Private room,,Brno,13,4.5,5,1.0,23.0,1.0,49.194739,16.605872,2016-10-31 01:44:16.073825
12467829,59582333,Entire home/apt,,Brno,17,5.0,8,3.0,41.0,1.0,49.193269,16.562201,2016-10-31 01:44:05.196291
15754424,66842548,Entire home/apt,,Brno,0,,4,0.0,58.0,1.0,49.185928,16.585911,2016-10-31 01:44:01.670122
1741827,3616342,Private room,,Brno,3,4.5,2,1.0,36.0,1.0,49.207158,16.612999,2016-10-31 01:43:40.498600
7134867,37372408,Entire home/apt,,Brno,51,5.0,2,0.0,34.0,2.0,49.188705,16.602461,2016-10-31 01:43:20.146329
7592436,23770807,Entire home/apt,,Brno,1,,4,0.0,55.0,1.0,49.210139,16.604411,2016-10-31 01:43:05.630114
614785,2826581,Entire home/apt,,Brno,46,5.0,3,0.0,48.0,2.0,49.195031,16.612109,2016-10-31 01:42:58.487092
6736745,29094382,Entire home/apt,,Brno,19,4.5,6,2.0,42.0,1.0,49.193457,16.618956,2016-10-31 01:42:50.086674
14228668,3566484,Entire home/apt,,Brno,1,,4,2.0,85.0,2.0,49.210727,16.620754,2016-10-31 01:42:41.774126
3470965,11196915,Entire home/apt,,Brno,56,5.0,3,1.0,56.0,1.0,49.196616,16.608635,2016-10-31 01:42:31.579404
1702976,4504049,Shared room,,Brno,29,5.0,11,1.0,16.0,1.0,49.196291,16.60958,2016-10-31 01:42:24.143603
1741301,3616342,Private room,,Brno,0,,2,1.0,40.0,1.0,49.207151,16.613542,2016-10-31 01:42:17.405658
13131998,36277660,Private room,,Brno,16,4.5,2,1.0,23.0,1.0,49.182329,16.585536,2016-10-31 01:42:06.222922
13025506,71781469,Entire home/apt,,Brno,6,4.0,4,2.0,94.0,1.0,49.192802,16.611906,2016-10-31 01:41:55.933679
1310349,7122680,Entire home/apt,,Brno,9,4.5,3,1.0,50.0,1.0,49.189204,16.59516,2016-10-31 01:41:53.414036
2205473,4176200,Private room,,Brno,1,,2,1.0,33.0,1.0,49.207177,16.476485,2016-10-31 01:41:42.400366
14924591,93818030,Shared room,,Brno,5,4.5,2,1.0,10.0,1.0,49.203673,16.6238,2016-10-31 01:41:39.174659
13324403,75372325,Entire home/apt,,Brno,0,,4,1.0,39.0,1.0,49.178856,16.691209,2016-10-31 01:41:36.418475
7719662,31873258,Private room,,Brno,0,,2,1.0,19.0,1.0,49.18867,16.586353,2016-10-31 01:41:34.194182
1712691,2802348,Entire home/apt,,Brno,33,4.5,6,1.0,28.0,1.0,49.201053,16.623105,2016-10-31 01:41:31.520060
606685,2972917,Private room,,Brno,1,,2,1.0,25.0,2.0,49.207059,16.640822,2016-10-31 01:41:28.312286
652231,3277922,Entire home/apt,,Brno,35,4.0,3,0.0,38.0,1.0,49.193613,16.615841,2016-10-31 01:41:20.619040
13937297,51333165,Entire home/apt,,Brno,6,4.0,4,1.0,22.0,1.0,49.195986,16.644386,2016-10-31 01:41:18.363752
5612631,29094382,Entire home/apt,,Brno,28,4.5,5,2.0,39.0,1.0,49.201844,16.622038,2016-10-31 01:41:10.557357
13973793,29094382,Entire home/apt,,Brno,0,,4,0.0,40.0,1.0,49.200857,16.622642,2016-10-31 01:40:57.830670
15644675,100932374,Entire home/apt,,Brno,0,,2,1.0,36.0,1.0,49.201553,16.614008,2016-10-31 01:40:50.637515
6856095,18395020,Entire home/apt,,Brno,21,4.5,6,3.0,89.0,1.0,49.194241,16.607979,2016-10-31 01:40:45.960174
15625845,99494741,Entire home/apt,,Brno,0,,2,1.0,29.0,1.0,49.211464,16.570792,2016-10-31 01:40:33.868495
14622046,90760650,Entire home/apt,,Brno,7,5.0,4,3.0,19.0,1.0,49.245784,16.574744,2016-10-31 01:40:30.445528
6485333,33891785,Private room,,Brno,0,,2,1.0,31.0,1.0,49.184121,16.5628,2016-10-31 01:40:27.499124
8383231,38655874,Private room,,Brno,0,,1,1.0,34.0,1.0,49.203613,16.595211,2016-10-31 01:40:19.277725
8748344,3566484,Entire home/apt,,Brno,3,4.0,2,1.0,57.0,1.0,49.17547,16.606207,2016-10-31 01:40:15.639001
14521536,89736932,Entire home/apt,,Brno,0,,5,3.0,83.0,2.0,49.233531,16.590883,2016-10-31 01:40:08.468929
13668012,71433987,Entire home/apt,,Brno,9,5.0,2,1.0,23.0,1.0,49.210104,16.599491,2016-10-31 01:40:04.589248
12864574,8082029,Shared room,,Brno,0,,1,1.0,21.0,1.0,49.196193,16.607932,2016-10-31 01:39:57.006216
15697762,76775524,Shared room,,Brno,0,,2,1.0,18.0,1.0,49.194084,16.609156,2016-10-31 01:39:50.751047
1742056,3616342,Private room,,Brno,5,4.5,1,1.0,27.0,1.0,49.208636,16.613399,2016-10-31 01:39:39.645794
13013584,71809122,Entire home/apt,,Brno,23,4.5,2,0.0,19.0,1.0,49.211007,16.625465,2016-10-31 01:39:25.350748
14563390,20939806,Private room,,Brno,1,,2,1.0,42.0,2.0,49.198493,16.601695,2016-10-31 01:38:46.924151
14232083,16662183,Private room,,Brno,11,5.0,5,1.0,24.0,1.0,49.196714,16.605024,2016-10-31 01:38:44.799918
14768998,16691282,Entire home/apt,,Brno,15,5.0,4,0.0,33.0,1.0,49.199292,16.600966,2016-10-31 01:38:37.836443
2154008,10948272,Private room,,Brno,0,,2,1.0,10267.0,1.0,49.188569,16.643683,2016-10-31 01:38:24.292847
12576024,68199031,Entire home/apt,,Brno,7,5.0,2,1.0,29.0,1.0,49.207758,16.660258,2016-10-31 01:38:16.906631
12460717,51077194,Private room,,Brno,0,,1,1.0,11.0,7.0,49.204976,16.620859,2016-10-31 01:38:09.152161
3647961,17063552,Private room,,Brno,161,4.5,2,1.0,25.0,1.0,49.193511,16.609607,2016-10-31 01:38:06.801493
13762971,36327375,Private room,,Brno,8,4.5,3,1.0,19.0,1.0,49.211913,16.551284,2016-10-31 01:37:59.091381
15076722,95381676,Entire home/apt,,Brno,4,5.0,3,1.0,50.0,2.0,49.209903,16.617409,2016-10-31 01:37:56.586431
6549416,31846956,Private room,,Brno,92,5.0,2,1.0,23.0,1.0,49.19731,16.611466,2016-10-31 01:37:48.863600
15209637,24246056,Entire home/apt,,Brno,2,,15,4.0,83.0,1.0,49.1961,16.606856,2016-10-31 01:37:32.526243
7153175,27769049,Entire home/apt,,Brno,1,,7,2.0,170.0,1.0,49.189101,16.604669,2016-10-31 01:37:29.158661
7354920,37372408,Entire home/apt,,Brno,1,,6,2.0,113.0,1.0,49.205647,16.498641,2016-10-31 01:37:26.383738
15713429,76775524,Shared room,,Brno,0,,2,1.0,16.0,1.0,49.194092,16.609059,2016-10-31 01:37:23.576065
4963456,23493460,Entire home/apt,,Brno,24,4.5,3,2.0,103.0,1.0,49.182139,16.59261,2016-10-31 01:36:58.439783
14709602,91319844,Shared room,,Brno,0,,2,1.0,25.0,1.0,49.203565,16.58045,2016-10-31 01:36:48.431958
4240524,2802348,Entire home/apt,,Brno,83,4.5,4,0.0,29.0,1.0,49.200985,16.617627,2016-10-31 01:36:35.748145
14578823,16514467,Entire home/apt,,Brno,1,,3,1.0,48.0,1.0,49.189714,16.602437,2016-10-31 01:36:31.611980
2802441,11549602,Private room,,Brno,17,4.5,5,1.0,30.0,1.0,49.198899,16.602081,2016-10-31 01:36:27.736773
13732615,80266203,Entire home/apt,,Brno,0,,6,2.0,84.0,1.0,49.193034,16.604892,2016-10-31 01:36:18.384141
11062870,44985860,Private room,,Brno,13,5.0,2,1.0,16.0,1.0,49.181088,16.598726,2016-10-31 01:36:16.476622
13872536,54435706,Private room,,Brno,8,5.0,2,1.0,15.0,1.0,49.212661,16.585194,2016-10-31 01:36:12.389220
14040907,83844500,Private room,,Brno,2,,1,1.0,25.0,1.0,49.230656,16.586748,2016-10-31 01:35:59.977319
